Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,Final Sweep ?,MVP Name,MVP Height (m),MVP Height (ft),MVP Position,MVP Team,MVP Nationality,MVP status,Finals MVP
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,False,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final,Bob Pettit
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,B. Cousy,1.85,6.069554,Guard,Boston Celtics,US,Champion,Bob Cousy
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Vice-Champion,Bill Russell
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,True,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final,Elgin Baylor
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia Warriors,US,Not reached Final,Bill Russell
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,False,O. Robertson,1.96,6.430446,Guard,Cincinnati Royals,US,Not reached Final,Jerry West
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Jerry Lucas
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final,Bill Russell
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Champion,Wilt Chamberlain
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final,Bill Russell
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Unseld,2.01,6.594488,Center,Baltimore Bullets,US,Not reached Final,Jerry West
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,False,W. Reed,2.06,6.75853,Center,New York Knicks,US,Champion,Willis Reed
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,True,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Champion,K. Ajabbar
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Not reached Final,Wilt Chamberlain
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,False,D. Cowens,2.06,6.75853,Center,Boston Celtics,US,Not reached Final,Willis Reed
1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Vice-Champion,John Havlicek
1975,Golden State Warriors,Washington Bullets,4–0,Golden State Warriors,Washington Bullets,True,B. McAdoo,2.06,6.75853,Center,Buffalo Braves,US,Not reached Final,Rick Barry
1976,Phoenix Suns,Boston Celtics,2–4,Boston Celtics,Phoenix Suns,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final,Joe White
1977,Portland Trail Blazers,Philadelphia 76ers,4–2,Portland Trail Blazers,Philadelphia 76ers,False,K. A-Jabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final,Bill Walton
1978,Seattle SuperSonics,Washington Bullets,3–4,Washington Bullets,Seattle SuperSonics,False,B. Walton,2.11,6.922572,Center,Portland Trail Blazers,US,Not reached Final,Wes Unseld
1979,Seattle SuperSonics,Washington Bullets,4–1,Seattle SuperSonics,Washington Bullets,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final,Dennis Johnson
1980,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Champion,Magic Johnson
1981,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,False,J. Erving,2.01,6.594488,Forward,Philadelphia 76ers,US,Not reached Final,Cedric Maxwell
1982,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final,Magic Johnson
1983,Los Angeles Lakers,Philadelphia 76ers,0–4,Philadelphia 76ers,Los Angeles Lakers,True,M. Malone,2.08,6.824147,Center,Philadelphia 76ers,US,Champion,Moses Malone
1984,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Champion,Larry Bird
1985,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Vice-Champion,K. Ajabbar
1986,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Champion,Larry Bird
1987,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,False,M. Johnson,2.06,6.75853,Guard,Los Angeles Lakers,US,Champion,Magic Johnson
1988,Los Angeles Lakers,Detroit Pistons,4–3,Los Angeles Lakers,Detroit Pistons,False,M. Jordan,1.98,6.496063,Guard,Chicago Bulls,US,Not reached Final,James Worthy
1989,Los Angeles Lakers,Detroit Pistons,0–4,Detroit Pistons,Los Angeles Lakers,True,M. Johnson,2.06,6.75853,Guard,Los Angeles Lakers,US,Vice-Champion,Joe Dumars
1990,Portland Trail Blazers,Detroit Pistons,1–4,Detroit Pistons,Portland Trail Blazers,False,M. Johnson,2.06,6.75853,Guard,Los Angeles Lakers,US,Not reached Final,Isiah Thomas
1991,Los Angeles Lakers,Chicago Bulls,1–4,Chicago Bulls,Los Angeles Lakers,False,M. Jordan,1.98,6.496063,Guard,Chicago Bulls,US,Champion,Michael Jordan
1992,Portland Trail Blazers,Chicago Bulls,2–4,Chicago Bulls,Portland Trail Blazers,False,M. Jordan,1.98,6.496063,Guard,Chicago Bulls,US,Champion,Michael Jordan
1993,Phoenix Suns,Chicago Bulls,2–4,Chicago Bulls,Phoenix Suns,False,C. Barkley,1.98,6.496063,Forward,Phoenix Suns,US,Vice-Champion,Michael Jordan
1994,Houston Rockets,New York Knicks,4–3,Houston Rockets,New York Knicks,False,H. Olajuwon,2.13,6.988189,Center,Houston Rockets,Nigeria,Champion,Hakeem Olajuwon
1995,Houston Rockets,Orlando Magic,4–0,Houston Rockets,Orlando Magic,True,D. Robinson,2.16,7.086614,Center,San Antonio Spurs,US,Not reached Final,Hakeem Olajuwon
1996,Seattle SuperSonics,Chicago Bulls,2–4,Chicago Bulls,Seattle SuperSonics,False,M. Jordan,1.98,6.496063,Guard,Chicago Bulls,US,Champion,Michael Jordan
1997,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,False,K. Malone,2.06,6.75853,Forward,Utah Jazz,US,Vice-Champion,Michael Jordan
1998,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,False,M. Jordan,1.98,6.496063,Guard,Chicago Bulls,US,Champion,Michael Jordan
1999,San Antonio Spurs,New York Knicks,4–1,San Antonio Spurs,New York Knicks,False,K. Malone,2.06,6.75853,Forward,Utah Jazz,US,Not reached Final,Tim Duncan
2000,Los Angeles Lakers,Indiana Pacers,4–2,Los Angeles Lakers,Indiana Pacers,False,S. O'Neal,2.16,7.086614,Center,Los Angeles Lakers,US,Champion,Shaquille O'Neal
2001,Los Angeles Lakers,Philadelphia 76ers,4–1,Los Angeles Lakers,Philadelphia 76ers,False,A. Iverson,1.83,6.003937,Guard,Philadelphia 76ers,US,Vice-Champion,Shaquille O'Neal
2002,Los Angeles Lakers,New Jersey Nets,4–0,Los Angeles Lakers,New Jersey Nets,True,T. Duncan,2.11,6.922572,Forward,San Antonio Spurs,US,Not reached Final,Shaquille O'Neal
2003,San Antonio Spurs,New Jersey Nets,4–2,San Antonio Spurs,New Jersey Nets,False,T. Duncan,2.11,6.922572,Forward,San Antonio Spurs,US,Champion,Tim Duncan
2004,Los Angeles Lakers,Detroit Pistons,1–4,Detroit Pistons,Los Angeles Lakers,False,K. Garnett,2.11,6.922572,Forward,Minnesota Timberwolves,US,Not reached Final,Chauncey Billups
2005,San Antonio Spurs,Detroit Pistons,4–3,San Antonio Spurs,Detroit Pistons,False,S. Nash,1.91,6.266404,Guard,Phoenix Suns,Canada,Not reached Final,Tim Duncan
2006,Dallas Mavericks,Miami Heat,2–4,Miami Heat,Dallas Mavericks,False,S. Nash,1.91,6.266404,Guard,Phoenix Suns,Canada,Not reached Final,Dwayne Wade
2007,San Antonio Spurs,Cleveland Cavaliers,4–0,San Antonio Spurs,Cleveland Cavaliers,True,D. Nowitzki,2.13,6.988189,Forward,Dallas Mavericks,Germany,Not reached Final,Tony Parker
2008,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,K. Bryant,1.98,6.496063,Guard,Los Angeles Lakers,US,Vice-Champion,Paul Pierce
2009,Los Angeles Lakers,Orlando Magic,4–1,Los Angeles Lakers,Orlando Magic,False,L. James,2.03,6.660105,Forward,Cleveland Cavaliers,US,Not reached Final,Kobe Bryant
2010,Los Angeles Lakers,Boston Celtics,4–3,Los Angeles Lakers,Boston Celtics,False,L. James,2.03,6.660105,Forward,Cleveland Cavaliers,US,Not reached Final,Kobe Bryant
2011,Dallas Mavericks,Miami Heat,4–2,Dallas Mavericks,Miami Heat,False,D. Rose,1.91,6.266404,Guard,Chicago Bulls,US,Not reached Final,Dirk Nowitzki
2012,Oklahoma City Thunder,Miami Heat,1–4,Miami Heat,Oklahoma City Thunder,False,L. James,2.03,6.660105,Forward,Miami Heat,US,Champion,LeBron James
2013,San Antonio Spurs,Miami Heat,3–4,Miami Heat,San Antonio Spurs,False,L. James,2.03,6.660105,Forward,Miami Heat,US,Champion,LeBron James
2014,San Antonio Spurs,Miami Heat,4–1,San Antonio Spurs,Miami Heat,False,K. Durant,2.06,6.75853,Forward,Oklahoma City Thunder,US,Not reached Final,Kawhi Leonard
2015,Golden State Warriors,Cleveland Cavaliers,4–2,Golden State Warriors,Cleveland Cavaliers,False,S. Curry,1.91,6.266404,Guard,Golden State Warriors,US,Champion,Andre Iguodala
2016,Golden State Warriors,Cleveland Cavaliers,4–3,Cleveland Cavaliers,Golden State Warriors,False,S. Curry,1.91,6.266404,Guard,Golden State Warriors,US,Vice-Champion,LeBron James
2017,Golden State Warriors,Cleveland Cavaliers,4–2,Golden State Warriors,Cleveland Cavaliers,False,R. Westbrook,1.91,6.266404,Guard,Oklahoma City Thunder,US,Not reached Final,Kevin Durant
2018,Golden State Warriors,Cleveland Cavaliers,4–0,Golden State Warriors,Cleveland Cavaliers,True,J. Harden,1.96,6.5,Guard,Houston Rockets,US,Not reached Final,Kevin Durant
2019,Golden State Warriors,Toronto Raptors,4–2,Toronto Raptors,Golden State Warriors,False,Giannis Antetokounmpo,2.11,6.9167,Forward,Milwaukee Bucks,Greece,Not reached Final,Kawhi Leonard
2020,Los Angeles Lakers,Miami Heat,4–2,Los Angeles Lakers,Miami Heat,False,Giannis Antetokounmpo,2.11,6.9167,Forward,Milwaukee Bucks,Greece,Not reached Final,LeBron James
2021,Phoenix Suns,Milwaukee Bucks,4–2,Milwaukee Bucks,Phoenix Suns,False,Nikola Jokic,2.11,6.9166,Center,Denver Nuggets,Serbia,Not reached Final,Giannis Antetokounmpo
2022,Golden State Warriors,Boston Celtics,4–2,Golden State Warriors,Boston Celtics,False,Nikola Jokic,2.11,6.9166,Center,Denver Nuggets,Serbia,Not reached Final,Stephen Curry
2023,Denver Nuggets,Miami Heat,4–1,Denver Nuggets,Miami Heat,False,Joel Embiid,2.13,6.9201,Center,Philadelphia 76ers,US,Not reached Final,Nikola Jokic
